"id","taxon_group","language_iso","kingdom_taxon","kingdom_taxa_taxon_list_id","order_taxon","order_taxa_taxon_list_id","family_taxon","family_taxa_taxon_list_id","parent_id","taxonomic_sort_order","taxon","authority","taxon_rank","taxon_rank_sort_order","preferred","preferred_taxon","preferred_authority","default_common_name","freshwater_flag","non_native_flag"
495726,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Geometridae",218698,397232,NULL,"Camptogramma",NULL,"Genus",230,False,"Camptogramma","Stephens, 1831",NULL,False,False
512727,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Geometridae",218698,164071,NULL,"Camptogramma bilineata",NULL,"Species",300,False,"Camptogramma bilineata","(Linnaeus, 1758)","Yellow Shell",False,False
476470,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Geometridae",218698,400142,NULL,"Campaea",NULL,"Genus",230,False,"Campaea","Lamarck, 1816",NULL,False,False
494996,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Gracillariidae",63508,287144,NULL,"Cameraria ohridella",NULL,"Species",300,False,"Cameraria ohridella","Deschka & Dimić, 1986","Horse-Chestnut Leaf-miner",False,True
474131,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Gracillariidae",63508,400098,NULL,"Calybites pyrenaeella",NULL,"Species",300,False,"Caloptilia hauderi","(Rebel, 1906)","Yellow-blotch Slender",False,False
400994,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Blastobasidae",185511,93633,NULL,"Blastobasis lignea","sensu auctt. nec Walsingham 1894","Species",300,False,"Blastobasis adustella","Walsingham, 1894","Furness Dowd",False,False
491778,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Noctuidae",14852,394333,NULL,"Calophasia",NULL,"Genus",230,False,"Calophasia","Stephens, 1829",NULL,False,False
403226,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Tortricidae",231318,66128,NULL,"Acroclita consequana","(Herrich-Schäffer, 1851)","Species",300,False,"Acroclita subsequana","(Herrich-Schäffer, 1851)","Coast Spurge Bell",False,False
489762,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Pterophoridae",202596,398669,NULL,"Capperia",NULL,"Genus",230,False,"Capperia","Tutt, 1905",NULL,False,False
529943,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Psychidae",55847,55847,NULL,"Canephora",NULL,"Genus",230,False,"Canephora","Hübner, 1822",NULL,False,False
21592,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Pyralidae",111775,399824,NULL,"Etiella","Zeller, 1839","Genus",230,True,"Etiella","Zeller, 1839",NULL,False,False
18755,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Depressariidae",396754,400518,NULL,"Agonopterix applana","(Fabricius, 1776)","Species",300,False,"Agonopterix heracliana","(Linnaeus, 1758)","Common Flat-body",False,False
497094,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Noctuidae",14852,394814,NULL,"Callopistria",NULL,"Genus",230,False,"Callopistria","Hübner, [1821]",NULL,False,False
6862,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Depressariidae",396754,208895,NULL,"Depressaria douglasella","Stainton","Species",300,False,"Depressaria douglasella","Stainton, 1849","Carrot Flat-body",False,False
530793,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Erebidae",289269,394866,NULL,"Calliteara",NULL,"Genus",230,False,"Calliteara","Butler, 1881",NULL,False,False
527674,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Gracillariidae",63508,398067,NULL,"Callisto",NULL,"Genus",230,False,"Callisto","Stephens, 1834",NULL,False,False
486325,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Erebidae",289269,83754,NULL,"Callistege",NULL,"Genus",230,False,"Euclidia (Callistege)","Hübner, [1823]",NULL,False,False
530466,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Gracillariidae",63508,89206,NULL,"Callisto coffeella",NULL,"Species",300,False,"Callisto coffeella","(Zetterstedt, 1839)","Highland Slender",False,False
492024,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Erebidae",289269,398405,NULL,"Callimorpha",NULL,"Genus",230,False,"Callimorpha","Latreille, 1809",NULL,False,False
92484,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Tortricidae",231318,399678,NULL,"Cochyldia",NULL,"Genus",230,False,"Cochylidia","Obraztsov, 1956",NULL,False,False
95322,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Gelechiidae",213249,397856,NULL,"Neofriseria","Sattler","Genus",230,False,"Neofriseria","Sattler, 1960",NULL,False,False
502385,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Crambidae",291555,40555,NULL,"Calamotropha",NULL,"Genus",230,False,"Calamotropha","Zeller, 1863",NULL,False,False
487327,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Noctuidae",14852,397064,NULL,"Calamia",NULL,"Genus",230,False,"Calamia","Hübner, [1821]",NULL,False,False
478155,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Gracillariidae",63508,398067,NULL,"Caloptilia",NULL,"Genus",230,False,"Caloptilia","Hübner, [1825]",NULL,False,False
534542,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Gracillariidae",63508,288925,NULL,"Caloptilia syringella",NULL,"Species",300,False,"Gracillaria syringella","(Fabricius, 1794)","Common Slender",False,False
6865,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Ethmiidae",394518,88338,NULL,"Ethmia pyrausta","Pallas","Species",300,False,"Ethmia pyrausta","(Pallas, 1771)","Mountain Ermel",False,False
6867,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Tortricidae",231318,398027,NULL,"Epiblema grandaevana","(Lienig & Zeller, 1846)","Species",300,True,"Epiblema grandaevana","(Lienig & Zeller, 1846)","Great Bell",False,False
6868,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Tortricidae",231318,398027,NULL,"Epiblema grandaevana","Lienig & Zeller","Species",300,False,"Epiblema grandaevana","(Lienig & Zeller, 1846)","Great Bell",False,False
536397,"insect - moth","lat","Animalia",106890,"Lepidoptera",42968,"Noctuidae",14852,14852,NULL,"Caenurgina",NULL,"Genus",230,False,"Caenurgina","McDunnough, 1937",NULL,False,False
